state;year;cipstest;cipstest_1;cipstest_2;cipstest_3
ALABAMA;1970;28418;15032.67;7325.8;1655.68
ALABAMA;1971;29375;15501.94;7525.94;1721.02
ALABAMA;1972;31303;15972.41;7765.42;1764.75
ALABAMA;1973;33430;16406.26;7907.66;1742.41
ALABAMA;1974;33749;16762.67;8025.52;1734.85
ALABAMA;1975;33604;17316.26;8158.23;1752.27
ALABAMA;1976;35764;17732.86;8228.19;1799.74
ALABAMA;1977;37463;18111.93;8365.67;1845.11
ALABAMA;1978;39964;18479.74;8510.64;1960.51
ALABAMA;1979;40979;18881.49;8640.61;2081.91
ALABAMA;1980;40380;19012.34;8663.5;2138.52
ALABAMA;1981;41105;19118.52;8628.83;2218.91
ALABAMA;1982;40328;19118.25;8645.14;2215.84
ALABAMA;1983;42245;19122;8612.47;2230.91
ALABAMA;1984;45118;19257.47;8655.94;2235.16
ALABAMA;1985;46849;19433.36;8726.24;2253.03
ALABAMA;1986;48409;19723.37;8813.24;2308.99
ARIZONA;1970;19288;10148.42;4556.81;1627.87
ARIZONA;1971;21040;10560.54;4701.97;1627.34
ARIZONA;1972;23289;10977.53;4847.84;1614.58
ARIZONA;1973;25244;11598.26;4963.46;1647.88
ARIZONA;1974;25698;12129.06;5071.38;1678
ARIZONA;1975;24915;12929.06;5163.41;1764.87
ARIZONA;1976;26041;13603.89;5249.82;1910.43
ARIZONA;1977;28110;14175.42;5358.45;1973.48
ARIZONA;1978;31062;14812.04;5470;2038.3
ARIZONA;1979;33943;15547.62;5603.12;2132.49
ARIZONA;1980;34708;16344.9;5720.38;2165.64
ARIZONA;1981;35244;17088.3;5816.05;2265.42
ARIZONA;1982;33603;17650.57;5918.5;2377.2
ARIZONA;1983;35963;18108.24;6019.87;2513.38
ARIZONA;1984;40010;18792.09;6101.45;2574.78
ARIZONA;1985;43350;19414.85;6282.51;2737.37
ARIZONA;1986;46058;20212.42;6553.4;2923.15
ARKANSAS;1970;15392;7613.26;3647.73;644.99
ARKANSAS;1971;16177;7982.03;3686.95;651.63
ARKANSAS;1972;17702;8309.01;3780.05;668.5
ARKANSAS;1973;18825;8399.59;3894.77;691.76
ARKANSAS;1974;19287;8512.05;3985.99;726.62
ARKANSAS;1975;19024;8651.26;4051.66;742.5
ARKANSAS;1976;20277;8921.91;4185.4;761.38
ARKANSAS;1977;21410;9234.85;4316.52;793.54
ARKANSAS;1978;23063;9374.54;4405.68;821.01
ARKANSAS;1979;23501;9554.83;4483.21;859.23
ARKANSAS;1980;23210;9705.24;4531.36;890.41
ARKANSAS;1981;24134;9872.87;4608.72;916.68
ARKANSAS;1982;23462;9919.35;4681.5;905.92
ARKANSAS;1983;24415;9861.76;4662.68;934.14
ARKANSAS;1984;26512;9754.55;4654.37;934.6
ARKANSAS;1985;27159;9675.47;4639.3;947.04
ARKANSAS;1986;28168;9787.2;4652.71;960.66
CALIFORNIA;1970;263933;128545.36;42961.31;17837.26
CALIFORNIA;1971;265600;132263.33;44768.37;18448.04
CALIFORNIA;1972;281159;134451.52;46045.52;18813.82
CALIFORNIA;1973;293735;135988.4;47064.46;19084.52
CALIFORNIA;1974;298408;136827.29;47572.52;19092.78
CALIFORNIA;1975;304518;138487.39;47699.42;19654.53
CALIFORNIA;1976;320160;139514.18;47568.65;20346.64
CALIFORNIA;1977;338040;139910.22;47137.99;21014.45
CALIFORNIA;1978;359603;139408.84;46472.4;21556.85
CALIFORNIA;1979;374928;140217.32;46132.47;22297.31
CALIFORNIA;1980;380221;139776.97;45597.88;22925.93
CALIFORNIA;1981;378436;139662.44;45042.91;23291.36
CALIFORNIA;1982;372541;139232.39;44490.48;23502.43
CALIFORNIA;1983;390528;138535.66;44027.17;23828.67
CALIFORNIA;1984;420525;138101.55;43826.52;23841.32
CALIFORNIA;1985;444082;138170.93;43566.26;24121.33
CALIFORNIA;1986;464550;139042.68;43350.54;24592.33
COLORADO;1970;25689;11402.52;4403.21;2165.03
COLORADO;1971;27341;11682.06;4535.52;2166.21
COLORADO;1972;29624;12010.91;4757.59;2133.49
COLORADO;1973;32417;12473.28;4982.21;2206.43
COLORADO;1974;33039;12964.14;5143.73;2312.49
COLORADO;1975;33593;13483.92;5223.11;2464.28
COLORADO;1976;35223;14090.24;5318.1;2617.61
COLORADO;1977;37429;14736.89;5463.79;2747.31
COLORADO;1978;40522;15240.49;5598.49;2887.92
COLORADO;1979;42917;15711.11;5705.99;3078.37
COLORADO;1980;43888;16272.57;5766.89;3274.49
COLORADO;1981;44695;16692.71;5820.52;3564.34
COLORADO;1982;45252;17027.51;5846.02;3719.04
COLORADO;1983;46523;17388.99;5877.85;3898.86
COLORADO;1984;49332;17785.25;5942.8;4000.29
COLORADO;1985;50820;18327.11;6057.5;4153.07
COLORADO;1986;51781;18889.54;6148.8;4340.24
CONNECTICUT;1970;38880;15865.66;7237.14;2208.1
CONNECTICUT;1971;38515;16559.99;7312.24;2406.84
CONNECTICUT;1972;40037;17346.79;7407.46;2642.54
CONNECTICUT;1973;42157;17803.12;7492.12;2741.16
CONNECTICUT;1974;41827;18225.2;7550.75;2881
CONNECTICUT;1975;39870;18686.78;7585.56;3027.33
CONNECTICUT;1976;41326;18871.06;7587.34;3104.13
CONNECTICUT;1977;42976;18798.54;7501.72;3166.91
CONNECTICUT;1978;44844;18566.24;7352.08;3194.03
CONNECTICUT;1979;46008;18487.06;7274.07;3294.94
CONNECTICUT;1980;45949;18385.98;7192;3387.26
CONNECTICUT;1981;47397;18271.34;7103.85;3396.82
CONNECTICUT;1982;47241;18030.08;7017.05;3371.93
CONNECTICUT;1983;50594;17739.88;6959.31;3332.92
CONNECTICUT;1984;55117;17494.36;6890.73;3300.44
CONNECTICUT;1985;58263;17317.13;6861.64;3313.05
CONNECTICUT;1986;61750;17290.61;6878.14;3314.55
DELAWARE;1970;6863;4250.95;2078.95;234.23
DELAWARE;1971;7399;4405.91;2076.73;230.51
DELAWARE;1972;7829;4560.71;2105.3;233.59
DELAWARE;1973;8604;4725.12;2125.88;283.84
DELAWARE;1974;7777;4927.52;2195.49;324.32
DELAWARE;1975;7625;4988.37;2197.46;349.68
DELAWARE;1976;8061;4959.87;2161.42;358.6
DELAWARE;1977;8313;4958.47;2158.95;400.11
DELAWARE;1978;8390;4954.21;2134.89;440.95
DELAWARE;1979;8360;4936.91;2103.91;482.11
DELAWARE;1980;8200;4868.74;2071.23;488.36
DELAWARE;1981;8344;4825.97;2050.14;491.43
DELAWARE;1982;8435;4786.37;2038.78;487.77
DELAWARE;1983;8883;4768.17;2029.77;482.47
DELAWARE;1984;9347;4743.86;2037.26;483.3
DELAWARE;1985;9699;4731.49;2043.62;490.68
DELAWARE;1986;10072;4716.73;2052.16;492.03
FLORIDA;1970;69641;29696.86;12622.3;4174.89
FLORIDA;1971;73170;30683.09;12873.62;4282.97
FLORIDA;1972;81313;32089.12;13424.21;4318.05
FLORIDA;1973;90897;33480.99;13999.7;4268.38
FLORIDA;1974;92163;34650.29;14586.91;4281.73
FLORIDA;1975;89502;36103.75;15075.13;4446.11
FLORIDA;1976;90957;37942.61;15538.54;4726.01
FLORIDA;1977;95449;39393.89;15790.7;5404.47
FLORIDA;1978;103064;40859.4;15985.09;6123.84
FLORIDA;1979;109121;42107.13;16220.82;6625.71
FLORIDA;1980;113857;43192.98;16457.76;6998.35
FLORIDA;1981;118145;44311.68;16724.87;7430.67
FLORIDA;1982;118301;45492;16952.95;7814.59
FLORIDA;1983;126322;47116.82;17282.36;8183.58
FLORIDA;1984;136572;48538.98;17597.76;8483.89
FLORIDA;1985;145171;50336.63;17888.08;8767.52
FLORIDA;1986;152269;52309.37;18290.06;9172.05
GEORGIA;1970;43105;18270.44;7999.19;2092.77
GEORGIA;1971;45438;19275.62;8213.17;2148.43
GEORGIA;1972;49402;20167.45;8433.38;2165.53
GEORGIA;1973;52824;21015.05;8676.01;2267.56
GEORGIA;1974;52390;21882.27;9004.13;2519.94
GEORGIA;1975;50900;22713.54;9192.85;2797.47
GEORGIA;1976;54469;23556.37;9445.52;3029.37
GEORGIA;1977;58085;24124.15;9623.51;3177.03
GEORGIA;1978;61607;24622.13;9745.86;3240.48
GEORGIA;1979;63825;25631.2;10054.77;3347.57
GEORGIA;1980;64216;26685.37;10289.71;3461.48
GEORGIA;1981;66352;27546.85;10501.58;3574.39
GEORGIA;1982;66766;28209.03;10620.04;3669.58
GEORGIA;1983;71485;28996.86;10985.78;3808.7
GEORGIA;1984;78797;29702.75;11236.24;3896.84
GEORGIA;1985;83461;30068.26;11292.92;3926.96
GEORGIA;1986;88827;30991.33;11563.64;4024.23
IDAHO;1970;7175;3410.22;2193.99;267.56
IDAHO;1971;7255;3579.67;2276.68;256.47
IDAHO;1972;7898;3676.22;2353.72;247.87
IDAHO;1973;8352;3737.66;2399.18;236.98
IDAHO;1974;8970;3813.94;2467.04;228.46
IDAHO;1975;9099;3942.37;2531.4;229.86
IDAHO;1976;9709;4105.58;2563.07;249.94
IDAHO;1977;9967;4255.84;2606.65;271.88
IDAHO;1978;10828;4398.05;2674.18;289.18
IDAHO;1979;10924;4522.19;2724.98;298.74
IDAHO;1980;11002;4605.7;2740.64;324.21
IDAHO;1981;10959;4667.31;2753.25;337.06
IDAHO;1982;10432;4699.95;2749.25;347.34
IDAHO;1983;10879;4710.03;2756.72;359.68
IDAHO;1984;11262;4769.76;2794.78;376.04
IDAHO;1985;11815;4819.32;2838.03;382.94
IDAHO;1986;11672;4890.92;2886.07;406.41
ILLINOIS;1970;145792;52197.49;23582.87;6361.94
ILLINOIS;1971;148503;53805.62;23841.66;6579.1
ILLINOIS;1972;154413;55540.36;24602.76;6675.74
ILLINOIS;1973;163125;57288.3;25448.17;6807.99
ILLINOIS;1974;161725;58984.18;25806.09;7107
ILLINOIS;1975;157366;60139.25;26068.87;7342.22
ILLINOIS;1976;163112;61104.4;26325.26;7522.85
ILLINOIS;1977;168627;62200.83;26835.52;7669.6
ILLINOIS;1978;173767;63096.48;27300.22;8004.98
ILLINOIS;1979;173817;63642.81;27247.22;8491.35
ILLINOIS;1980;165722;64003.03;27237.54;9047.41
ILLINOIS;1981;166029;64549.3;27406.33;9523.64
ILLINOIS;1982;159778;65064.2;27568.5;10218
ILLINOIS;1983;160856;64751.99;27483;10436.04
ILLINOIS;1984;173602;64460.25;27590.53;10485.73
ILLINOIS;1985;178493;64487.38;27811.57;10532.95
ILLINOIS;1986;183849;64726.05;28101.57;10577.77
INDIANA;1970;56769;20813.65;8904.96;2814.86
INDIANA;1971;58540;21665.6;9140.25;2919.6
INDIANA;1972;61613;22368.04;9391.29;2929.94
INDIANA;1973;66534;23230.94;9696.29;2947.49
INDIANA;1974;64313;23652.3;9913.98;2918.14
INDIANA;1975;61200;23945.55;10038.12;2932.54
INDIANA;1976;65479;24259.12;10178.36;3017.66
INDIANA;1977;68832;24506.31;10409.08;3014.11
INDIANA;1978;71717;24639.62;10518.94;3026.38
INDIANA;1979;72047;24744.99;10536;3082.76
INDIANA;1980;67930;24799.68;10574.03;3142.24
INDIANA;1981;68135;24976.64;10619.58;3210.15
INDIANA;1982;64042;25108.79;10618.71;3297.4
INDIANA;1983;65211;24983.98;10558.11;3284.13
INDIANA;1984;70975;24835.6;10481.99;3311.04
INDIANA;1985;73392;24905.94;10532.65;3376.2
INDIANA;1986;75924;24924.85;10567.2;3377.17
IOWA;1970;29173;14728.51;8684.87;1377.5
IOWA;1971;29312;15311.03;8926.99;1451.36
IOWA;1972;31159;15657.48;9144.08;1508.06
IOWA;1973;33798;16006.47;9424.4;1508.45
IOWA;1974;33591;16159.2;9571.66;1518
IOWA;1975;34378;16414.32;9677.48;1567.76
IOWA;1976;35752;16766.52;9770.03;1682.16
IOWA;1977;37277;17166.76;9948.06;1822.71
IOWA;1978;39087;17407.43;10038.99;1972.05
IOWA;1979;39863;17722.68;10112.22;2114.49
IOWA;1980;38919;17928.92;10183.36;2148.16
IOWA;1981;40630;18050.52;10188.72;2154.55
IOWA;1982;37634;18141.76;10187.89;2132.8
IOWA;1983;35937;18240.5;10187.06;2184.02
IOWA;1984;38704;18203.48;10197.84;2252.53
IOWA;1985;39344;18288.61;10286.39;2319.88
IOWA;1986;40425;18436.18;10397.5;2393.84
KANSAS;1970;26311;11115.57;5988.83;1449.42
KANSAS;1971;26950;11595.03;6098.1;1515.59
KANSAS;1972;28330;11854.06;6226.46;1527.8
KANSAS;1973;29486;12137.4;6368.52;1513.71
KANSAS;1974;29506;12412.46;6488.52;1542.5
KANSAS;1975;29530;12792.34;6542.8;1599.35
KANSAS;1976;30655;13023.89;6628.42;1632.99
KANSAS;1977;31032;13386.6;6753.55;1691.7
KANSAS;1978;32232;13726.24;6830.98;1757.29
KANSAS;1979;33680;14157.68;6863.58;1838.2
KANSAS;1980;32844;14479.94;6919.83;1889.43
KANSAS;1981;33707;14855.02;7018.71;1953.03
KANSAS;1982;33287;15082.15;7104.16;2018.15
KANSAS;1983;33638;15062.88;7150.68;2053.86
KANSAS;1984;35582;15116.06;7177.68;2121.44
KANSAS;1985;36560;15145.49;7222.85;2181.94
KANSAS;1986;37783;15216.66;7310.79;2232.58
KENTUCKY;1970;32182;16035.09;9021.31;1706.76
KENTUCKY;1971;33276;16706.92;9280.45;1711.3
KENTUCKY;1972;35351;17169.23;9606.59;1708.68
KENTUCKY;1973;37305;17697.13;10008.41;1723.18
KENTUCKY;1974;37458;18263.75;10372.71;1773.45
KENTUCKY;1975;36717;18624.45;10505.77;1906.71
KENTUCKY;1976;39138;18945.26;10588;2019.97
KENTUCKY;1977;41137;19294.6;10701.7;2124.99
KENTUCKY;1978;43098;19572.86;10809.85;2169.76
KENTUCKY;1979;44188;19948.68;11017.87;2246.22
KENTUCKY;1980;42637;20585.01;11367.36;2363.19
KENTUCKY;1981;43595;21116.39;11721.16;2400.49
KENTUCKY;1982;42286;21308.34;11933.89;2390.23
KENTUCKY;1983;42668;21162.34;12008.09;2365.05
KENTUCKY;1984;45998;21032.34;12056.3;2350.25
KENTUCKY;1985;46753;21052.49;12171.63;2355.38
KENTUCKY;1986;47502;20959.34;12139.07;2338.37
LOUISIANA;1970;62666;19638.31;9891.38;2660.82
LOUISIANA;1971;64851;20066.64;10162.65;2734.98
LOUISIANA;1972;67439;20887.68;10392.2;2770.17
LOUISIANA;1973;67100;21408.2;10606.21;2733.22
LOUISIANA;1974;64919;21787.15;10805.89;2713.92
LOUISIANA;1975;63128;22175.86;10983.6;2721.5
LOUISIANA;1976;66338;22682.17;11273.56;2819.43
LOUISIANA;1977;68209;23389.41;11634.15;2937.22
LOUISIANA;1978;72221;24102.46;11981.51;3051.01
LOUISIANA;1979;73681;24446.12;12128.07;3108.48
LOUISIANA;1980;75312;24568.45;12107.67;3093.48
LOUISIANA;1981;77342;24789.76;12157.9;3067.08
LOUISIANA;1982;75743;25087;12262.86;3102.91
LOUISIANA;1983;72535;25422.96;12448.15;3123.98
LOUISIANA;1984;75349;25932.73;12825.32;3144.81
LOUISIANA;1985;73777;26477.79;13131.09;3213.47
LOUISIANA;1986;68508;26617.47;13271.71;3275.03
MAINE;1970;8844;3868.87;2206.79;482.69
MAINE;1971;8958;3999.86;2256.43;494.98
MAINE;1972;9449;4167.61;2335.08;505.6
MAINE;1973;9949;4272.26;2427.57;515.68
MAINE;1974;9976;4394.33;2485.16;549.75
MAINE;1975;9672;4529.86;2515.26;579.48
MAINE;1976;10555;4593.66;2518.41;610.57
MAINE;1977;10916;4662.84;2521.78;673.27
MAINE;1978;11434;4813.68;2531.39;862.79
MAINE;1979;11765;4931.13;2541.84;983.92
MAINE;1980;11731;4991.87;2553.75;1023.49
MAINE;1981;12013;5009.05;2559.1;1040.72
MAINE;1982;12099;4976.6;2536.96;1032.93
MAINE;1983;12813;4952.99;2540.19;1023.46
MAINE;1984;13652;4941.74;2536.66;1017.56
MAINE;1985;14238;4942.55;2526.87;1037.07
MAINE;1986;15056;4939.7;2535.26;1044.48
MARYLAND;1970;42971;19145.01;7466.91;4107.45
MARYLAND;1971;44111;20023.61;7761.21;4151.61
MARYLAND;1972;46121;21126.69;8191.56;4165.89
MARYLAND;1973;48728;22060.79;8386.45;4296.63
MARYLAND;1974;48514;23017.84;8733.95;4422.23
MARYLAND;1975;47751;24189.5;9088.64;4637.77
MARYLAND;1976;49228;25322.85;9328.2;4974.62
MARYLAND;1977;50507;26238.15;9610.83;5189.16
MARYLAND;1978;52317;26910.22;9813.67;5266.61
MARYLAND;1979;52804;27644.44;9951.82;5454.99
MARYLAND;1980;52361;28081.96;10018;5557.2
MARYLAND;1981;53231;28715.84;10118.32;5713.03
MARYLAND;1982;52583;28850.43;10160.71;5787.9
MARYLAND;1983;55323;29101.83;10461.03;5776.88
MARYLAND;1984;58925;29214.12;10668.97;5683.73
MARYLAND;1985;62179;29451.52;10845.28;5946.06
MARYLAND;1986;65408;29577.46;10983.19;5892.33
MASSACHUSETTS;1970;64429;21923.28;8541.89;2240.2
MASSACHUSETTS;1971;65276;23177.83;8871.26;2363.06
MASSACHUSETTS;1972;68096;24385.09;9022.56;2540.81
MASSACHUSETTS;1973;70876;25765.21;9033.16;2755.1
MASSACHUSETTS;1974;68955;27100.33;9074.66;2863.37
MASSACHUSETTS;1975;66448;28204.28;9114.56;2980.54
MASSACHUSETTS;1976;68467;28752.82;9101.4;3198.66
MASSACHUSETTS;1977;71258;29171.97;9098.1;3366.41
MASSACHUSETTS;1978;73575;29202.12;9123.64;3466.1
MASSACHUSETTS;1979;75180;29455.5;9169.85;3718.09
MASSACHUSETTS;1980;75289;29999.21;9146.15;4015.43
MASSACHUSETTS;1981;77490;30166.12;9094.17;4216.05
MASSACHUSETTS;1982;77166;30190.87;9076.55;4277.85
MASSACHUSETTS;1983;82489;30221.77;9034.17;4320.64
MASSACHUSETTS;1984;90684;30352.69;9031.48;4381.02
MASSACHUSETTS;1985;96698;30497.51;9004.18;4451.55
MASSACHUSETTS;1986;102279;30795.56;8984.76;4558.94
MICHIGAN;1970;102172;44684.82;17924.92;8380.48
MICHIGAN;1971;107116;45993.77;18238.74;8564.69
MICHIGAN;1972;113837;46772.91;18423.57;8947.32
MICHIGAN;1973;122991;47923.55;18834.46;9556.35
MICHIGAN;1974;115796;48793.43;19160.95;9887.32
MICHIGAN;1975;109217;49789.59;19397.17;10081.01
MICHIGAN;1976;119929;50687.49;19591.79;10233.82
MICHIGAN;1977;129279;51302.34;19800.72;10369.21
MICHIGAN;1978;135247;51494.34;19980.26;10350.29
MICHIGAN;1979;132845;51707.36;20002.83;10486.26
MICHIGAN;1980;121360;51922.35;19996.38;10644.23
MICHIGAN;1981;118356;52276.4;20024.11;10900.24
MICHIGAN;1982;108627;51955.88;19881.31;10758.53
MICHIGAN;1983;114259;51305.62;19714.51;10578.52
MICHIGAN;1984;123886;50724.55;19505.44;10584.32
MICHIGAN;1985;131417;50392.79;19397.92;10390.41
MICHIGAN;1986;136433;49879.29;19184.17;10178.05
MINNESOTA;1970;41734;21948.43;10284.33;3682.74
MINNESOTA;1971;42467;23056.36;10735.9;3740.41
MINNESOTA;1972;44123;24023.53;11014.64;3790.75
MINNESOTA;1973;47805;24731.18;11172.43;3809.76
MINNESOTA;1974;47482;25333.93;11367.22;3945.05
MINNESOTA;1975;46967;25910.97;11555.19;3999.7
MINNESOTA;1976;48795;26485.99;11620.28;4141.07
MINNESOTA;1977;51661;27080.21;11748.5;4290.67
MINNESOTA;1978;54138;27464.67;11880.62;4455.08
MINNESOTA;1979;56239;27832.95;11985.82;4611.99
MINNESOTA;1980;55874;28055.27;12074.92;4721.44
MINNESOTA;1981;56748;28460.94;12164.09;4787.78
MINNESOTA;1982;55919;28590.72;12212.26;4834.17
MINNESOTA;1983;57167;28694.1;12279.25;4914.92
MINNESOTA;1984;62730;28718.02;12413.96;4898.92
MINNESOTA;1985;65463;28959.43;12569.74;4852.34
MINNESOTA;1986;68117;29241;12752.43;4809.57
MISSISSIPPI;1970;17306;10016.07;4936.56;824.65
MISSISSIPPI;1971;18027;10497.82;5114.5;861.51
MISSISSIPPI;1972;19340;10844.14;5323.04;887.66
MISSISSIPPI;1973;20605;11076.23;5491.42;923.12
MISSISSIPPI;1974;20208;11239.45;5639.29;951.12
MISSISSIPPI;1975;20184;11515.56;5738.05;1011.4
MISSISSIPPI;1976;22282;11799.74;5844.97;1072.13
MISSISSIPPI;1977;23628;12061.45;6029.9;1100.06
MISSISSIPPI;1978;24880;12274.39;6182.76;1101.6
MISSISSIPPI;1979;25611;12384.91;6224.01;1135.35
MISSISSIPPI;1980;25082;12454.04;6267.28;1122.82
MISSISSIPPI;1981;26017;12547.36;6352.24;1111.96
MISSISSIPPI;1982;25537;12603.35;6422.29;1117.05
MISSISSIPPI;1983;25570;12613.88;6517.93;1129.55
MISSISSIPPI;1984;27342;12509.37;6583.29;1117.48
MISSISSIPPI;1985;27778;12430.11;6621.01;1108.22
MISSISSIPPI;1986;27987;12411.36;6654.31;1138.91
MISSOURI;1970;50196;19464.98;9512.8;2571.06
MISSOURI;1971;51945;20393.17;9928.55;2701.12
MISSOURI;1972;54198;21288.19;10282.11;2803.23
MISSOURI;1973;56789;22079.1;10518.19;2798.25
MISSOURI;1974;55056;22475.35;10658.22;2787.58
MISSOURI;1975;53932;22839.32;10880.54;2774.79
MISSOURI;1976;57183;23032.56;10949.45;2804.81
MISSOURI;1977;60424;23236.14;11026.81;2899.28
MISSOURI;1978;63375;23393.53;11140.36;3006.6
MISSOURI;1979;64333;23545.2;11165.62;3174.4
MISSOURI;1980;61574;23670.64;11257.64;3244.45
MISSOURI;1981;62540;23947.15;11287.89;3375.57
MISSOURI;1982;61226;24084.48;11257.3;3526.02
MISSOURI;1983;63655;23957.04;11186.57;3560.48
MISSOURI;1984;68490;23782.61;11168.62;3544.61
MISSOURI;1985;70830;23761.7;11134.25;3572.77
MISSOURI;1986;72629;23855.97;11224.66;3593.45
MONTANA;1970;7896;4782.64;3372.27;366.92
MONTANA;1971;7829;4956.96;3517.01;371.39
MONTANA;1972;8524;5095.7;3657.76;368.85
MONTANA;1973;8948;5241.43;3786.46;360.64
MONTANA;1974;9176;5420.38;3881.28;406.51
MONTANA;1975;9288;5487.68;3885.38;428.87
MONTANA;1976;9524;5536.46;3863.19;459.07
MONTANA;1977;9675;5628.09;3886.33;497.77
MONTANA;1978;10580;5756.96;3964.73;519.63
MONTANA;1979;10952;5871.16;3999.93;530.18
MONTANA;1980;11114;5945.22;3997.37;533.84
MONTANA;1981;11394;6004.93;4003.21;534.09
MONTANA;1982;11007;6027.25;4030.51;531.54
MONTANA;1983;10911;5967.63;4007.25;530.62
MONTANA;1984;10817;5957.83;4013.08;533.75
MONTANA;1985;10323;6024.85;4046.68;553.46
MONTANA;1986;10763;6117.91;4085.04;575.89
NEBRASKA;1970;16067;9235.03;4134.55;1065.95
NEBRASKA;1971;16648;9759.43;4227.15;1071.08
NEBRASKA;1972;17429;10291.33;4373.59;1042.1
