state;year;cipstest;cipstest_1;cipstest_2;cipstest_3
NEBRASKA;1973;18284;10785.36;4469.52;1042.23
NEBRASKA;1974;18151;11293.48;4574.39;1082.39
NEBRASKA;1975;18717;11814.03;4667.1;1136.5
NEBRASKA;1976;19189;12436.57;4740.46;1263.78
NEBRASKA;1977;19563;12902.62;4831.06;1277.91
NEBRASKA;1978;20298;13482.42;4911.27;1301.78
NEBRASKA;1979;20943;14181.26;4985.51;1374.67
NEBRASKA;1980;20575;14619.96;5048.29;1407.61
NEBRASKA;1981;21777;14897.42;5106.4;1449.25
NEBRASKA;1982;21244;15039.75;5138.4;1440.27
NEBRASKA;1983;20647;15088.99;5188.05;1442.72
NEBRASKA;1984;22164;15027.98;5215.73;1422.43
NEBRASKA;1985;23300;14981.5;5281.8;1408.58
NEBRASKA;1986;23673;14974.69;5344.81;1399.2
NEVADA;1970;7354;3768.6;1993.17;464.21
NEVADA;1971;7599;3877.35;2042.4;481.2
NEVADA;1972;8076;4033.14;2094.25;508.15
NEVADA;1973;8774;4160.79;2116.82;508.31
NEVADA;1974;8861;4296.97;2155.53;513.74
NEVADA;1975;9084;4402.1;2158.46;514.36
NEVADA;1976;9720;4500.21;2165.37;538.63
NEVADA;1977;10673;4574.27;2174.66;572.23
NEVADA;1978;12233;4646.28;2195.82;606.32
NEVADA;1979;13343;4766.05;2243.79;616.74
NEVADA;1980;13991;4935.36;2276.73;711.72
NEVADA;1981;14365;5188.56;2321.8;839.08
NEVADA;1982;13796;5381.96;2368.03;886.05
NEVADA;1983;14103;5500.17;2389.52;918.29
NEVADA;1984;14790;5695;2455.39;997.68
NEVADA;1985;15474;5856.9;2508.07;1049.48
NEVADA;1986;16092;6003;2574.74;1082.71
NEW_HAMPSHIRE;1970;6852;3085.49;1889.29;254.57
NEW_HAMPSHIRE;1971;7042;3247.53;1943.53;275.04
NEW_HAMPSHIRE;1972;7516;3419.24;2008.2;302.67
NEW_HAMPSHIRE;1973;8098;3559.45;2057.3;322.28
NEW_HAMPSHIRE;1974;8016;3688.39;2124.83;372.7
NEW_HAMPSHIRE;1975;7819;3783.91;2167.52;397.66
NEW_HAMPSHIRE;1976;8470;3915.38;2214.32;428.63
NEW_HAMPSHIRE;1977;9084;4084.04;2257.39;476.3
NEW_HAMPSHIRE;1978;10002;4223.59;2301.79;511.67
NEW_HAMPSHIRE;1979;10572;4329.97;2333.25;567.87
NEW_HAMPSHIRE;1980;10738;4348.94;2342.18;560.2
NEW_HAMPSHIRE;1981;11332;4369.35;2344.09;578.84
NEW_HAMPSHIRE;1982;11606;4353.02;2330.25;607.17
NEW_HAMPSHIRE;1983;12743;4333.41;2314.9;622.69
NEW_HAMPSHIRE;1984;14100;4324.98;2327.25;624.39
NEW_HAMPSHIRE;1985;15541;4316.63;2337.76;633.79
NEW_HAMPSHIRE;1986;17073;4331.54;2350.11;637.52
NEW_JERSEY;1970;86366;24857.74;10385.59;3963.35
NEW_JERSEY;1971;89073;26627.68;11262.24;4101.37
NEW_JERSEY;1972;93384;28256.83;12060.09;4189.13
NEW_JERSEY;1973;97847;29544.99;12813.13;4386.79
NEW_JERSEY;1974;94864;30629.69;13495.55;4408.03
NEW_JERSEY;1975;90693;31830.65;13945.5;4522.4
NEW_JERSEY;1976;94049;32396.14;14014.03;4615.85
NEW_JERSEY;1977;97370;32775.77;13955.12;4803.28
NEW_JERSEY;1978;101593;33066.76;13788.65;5095.3
NEW_JERSEY;1979;103350;33268.6;13644.05;5404.27
NEW_JERSEY;1980;102571;33625.27;13558.33;5776.42
NEW_JERSEY;1981;105835;33794.24;13439.86;6029.86
NEW_JERSEY;1982;106705;34144.85;13293.91;6255.3
NEW_JERSEY;1983;113408;34320.27;13343.43;6279.97
NEW_JERSEY;1984;121388;34385.92;13415;6284.28
NEW_JERSEY;1985;126460;34528.53;13486.99;6391.51
NEW_JERSEY;1986;133468;34675.69;13719.05;6368.17
NEW_MEXICO;1970;12837;6082.2;3256.77;802.99
NEW_MEXICO;1971;13284;6195.5;3341.9;824.19
NEW_MEXICO;1972;13874;6238.49;3385.03;800.31
NEW_MEXICO;1973;14588;6326.03;3442.98;779.31
NEW_MEXICO;1974;15247;6367.27;3446.34;784.57
NEW_MEXICO;1975;15541;6447.38;3460.85;808.88
NEW_MEXICO;1976;15932;6606.97;3474.94;883.33
NEW_MEXICO;1977;16932;6724.71;3501.57;890.22
NEW_MEXICO;1978;18122;6786.25;3494.83;896.99
NEW_MEXICO;1979;19078;6902.83;3515.79;923.86
NEW_MEXICO;1980;19664;7104.7;3579.76;972.35
NEW_MEXICO;1981;20265;7296.53;3615.48;1017.38
NEW_MEXICO;1982;20023;7402.21;3631.09;1039.88
NEW_MEXICO;1983;20283;7634.64;3739.57;1071.49
NEW_MEXICO;1984;21331;7904.32;3877.09;1117.34
NEW_MEXICO;1985;21741;8228.31;4028.1;1150.52
NEW_MEXICO;1986;21154;8483.37;4096.28;1198.64
NEW_YORK;1970;242791;106893.49;34674.49;10536.87
NEW_YORK;1971;245018;110931.96;35397.65;11005.89
NEW_YORK;1972;251249;115957.66;36040.1;11844.87
NEW_YORK;1973;258498;121450.05;36678.41;12806.81
NEW_YORK;1974;250208;126498.16;36709.33;14026.58
NEW_YORK;1975;242463;131097.03;36931.52;15461.48
NEW_YORK;1976;245161;134166.03;36848.64;16674.44
NEW_YORK;1977;251092;134701.89;36486.69;17487.05
NEW_YORK;1978;254194;134632.83;36064.57;18001.42
NEW_YORK;1979;254314;134765.25;35899.56;18904.65
NEW_YORK;1980;249770;134166.71;35837.95;19440.64
NEW_YORK;1981;256199;133207.7;35638.22;20032.22
NEW_YORK;1982;255686;132189.18;35797.68;20063.48
NEW_YORK;1983;267916;131808.83;35777.56;20119.85
NEW_YORK;1984;285080;131365.12;35970.24;20223.34
NEW_YORK;1985;296381;131529.92;36063.88;20459.67
NEW_YORK;1986;309273;132203.02;36270.34;20695.61
NORTH_CAROLINA;1970;48047;16840;7670.09;2354.23
NORTH_CAROLINA;1971;50127;17688.47;8035.21;2409.62
NORTH_CAROLINA;1972;54624;18419.02;8433.57;2437.58
NORTH_CAROLINA;1973;57975;19081.72;8810.08;2458.58
NORTH_CAROLINA;1974;57546;19701.02;9185.2;2511.72
NORTH_CAROLINA;1975;56288;20334.13;9347.54;2626.44
NORTH_CAROLINA;1976;59462;21062.44;9478.41;2794.7
NORTH_CAROLINA;1977;62681;22029.51;9749.47;3027.51
NORTH_CAROLINA;1978;66409;22652;9915.07;3236.38
NORTH_CAROLINA;1979;68039;23305.83;10151.65;3386.9
NORTH_CAROLINA;1980;68065;24164.71;10342.92;3529.3
NORTH_CAROLINA;1981;70395;24576.1;10401.46;3674.75
NORTH_CAROLINA;1982;69128;24698.58;10322;3776.84
NORTH_CAROLINA;1983;73553;24700.31;10211.41;3848.75
NORTH_CAROLINA;1984;80020;24674.17;10160.18;3881.92
NORTH_CAROLINA;1985;83170;24744.19;10119.46;3934.05
NORTH_CAROLINA;1986;87371;25179.37;10143.7;4011.37
NORTH_DAKOTA;1970;6024;4173.07;2716.99;307.77
NORTH_DAKOTA;1971;6551;4226.31;2740.92;312.24
NORTH_DAKOTA;1972;7015;4302.57;2816.25;312.1
NORTH_DAKOTA;1973;8120;4330.52;2834.21;309.31
NORTH_DAKOTA;1974;8000;4404.4;2888.67;324.15
NORTH_DAKOTA;1975;8267;4458.28;2903.68;331.88
NORTH_DAKOTA;1976;8167;4492.23;2903.34;348.23
NORTH_DAKOTA;1977;8077;4573.94;2943.62;369.74
NORTH_DAKOTA;1978;9020;4628.15;2985.13;393.92
NORTH_DAKOTA;1979;9562;4704.64;3011.56;431.75
NORTH_DAKOTA;1980;9525;4798.61;3050.67;465.06
NORTH_DAKOTA;1981;10532;4888.2;3070.19;499.31
NORTH_DAKOTA;1982;10293;4893;3065;509.81
NORTH_DAKOTA;1983;9700;4929.21;3061.18;523.49
NORTH_DAKOTA;1984;10043;4929.23;3054.36;531.07
NORTH_DAKOTA;1985;9884;4968.32;3087.35;540.84
NORTH_DAKOTA;1986;9806;5014.77;3125.82;545.24
OHIO;1970;121293;48317.68;23653.22;8042.87
OHIO;1971;122871;50241.05;24331.77;8185.73
OHIO;1972;128649;51395.75;24733.59;8222.16
OHIO;1973;137636;52356.39;24882.94;8181.22
OHIO;1974;134923;52834.75;24967.19;8073.31
OHIO;1975;127128;53464.68;25063.58;8154.51
OHIO;1976;133697;54188.05;24980.44;8182.63
OHIO;1977;140466;54969.48;24924.3;8163.67
OHIO;1978;146947;55391.11;24781.45;8188.06
OHIO;1979;147766;56115.22;24696.32;8735.81
OHIO;1980;140782;56513.62;24562.73;9220.96
OHIO;1981;141743;56980.17;24343.52;9746.7
OHIO;1982;134204;57101.01;24029.59;10083.59
OHIO;1983;137411;56929.04;23773.55;10340.46
OHIO;1984;147979;56648.46;23606.36;10301.22
OHIO;1985;152689;56463.31;23826.13;10347.15
OHIO;1986;156541;56283.12;23755.8;10438.18
OKLAHOMA;1970;33262;11168.19;5732.8;1486.5
OKLAHOMA;1971;33879;11478.15;5929.05;1490.06
OKLAHOMA;1972;35190;11680.58;5994.3;1490.32
OKLAHOMA;1973;36333;11832.9;5697.07;1502.23
OKLAHOMA;1974;36110;12026.61;5821.31;1504.27
OKLAHOMA;1975;35967;12396.49;5890.24;1563.42
OKLAHOMA;1976;37376;12730.82;5926.67;1582.08
OKLAHOMA;1977;39235;12979.01;5936.34;1660.13
OKLAHOMA;1978;41564;13229.51;5972.49;1772.14
OKLAHOMA;1979;43535;13492.11;6001.28;1874.55
OKLAHOMA;1980;44944;13835.66;6039.31;1978.89
OKLAHOMA;1981;47236;14248.02;6072.15;2074.79
OKLAHOMA;1982;48700;14564.32;6131.31;2093.83
OKLAHOMA;1983;46425;14766.51;6159.51;2107.75
OKLAHOMA;1984;47499;15088.88;6263.83;2163.79
OKLAHOMA;1985;47178;15480.8;6331.49;2296.72
OKLAHOMA;1986;45928;15891.09;6405.81;2469.94
OREGON;1970;22350;11143.64;5522.14;1700.12
OREGON;1971;23280;11481.58;5641.79;1727.2
OREGON;1972;25356;11830.75;5868.4;1804.21
OREGON;1973;26976;12150.51;6085.11;1824.76
OREGON;1974;27744;12912.83;6313.44;1862
OREGON;1975;27474;13214.8;6322.44;1964.9
OREGON;1976;29559;13671.14;6354.98;2114.32
OREGON;1977;31397;13976.13;6408.58;2228.32
OREGON;1978;33793;14350.99;6376.73;2333.49
OREGON;1979;35296;14724.22;6372.79;2486.81
OREGON;1980;34762;15020.05;6373.7;2595.82
OREGON;1981;33614;15420.55;6437.47;2735.99
OREGON;1982;31148;15666.86;6498.98;2809.85
OREGON;1983;31899;15743.83;6563.95;2871.3
OREGON;1984;33747;15759.04;6589.36;2876.97
OREGON;1985;34769;15844.49;6639.98;2914.08
OREGON;1986;35934;15947.63;6716.47;2930.22
PENNSYLVANIA;1970;129967;50428.35;21507.1;6873.42
PENNSYLVANIA;1971;130120;53374.91;22873.38;7025.09
PENNSYLVANIA;1972;136028;56250.56;24070.94;7202.57
PENNSYLVANIA;1973;142970;58090.06;24636.92;7318.54
PENNSYLVANIA;1974;140616;59430.51;25171.81;7373.42
PENNSYLVANIA;1975;135828;60860.6;25623.54;7590.82
PENNSYLVANIA;1976;140178;61871.02;26024.77;7755.33
PENNSYLVANIA;1977;144091;62830.91;26341.98;7927.55
PENNSYLVANIA;1978;148130;62861.36;26307.55;8126.83
PENNSYLVANIA;1979;149431;62652.44;26037.41;8359.35
PENNSYLVANIA;1980;145367;62617.53;25614.52;8656.53
PENNSYLVANIA;1981;146570;62440.58;25108.39;8987.35
PENNSYLVANIA;1982;141282;62061.65;24753.64;9231.4
PENNSYLVANIA;1983;143923;61479.97;24476.17;9208.68
PENNSYLVANIA;1984;151405;61158.43;24200.25;9085.6
PENNSYLVANIA;1985;155809;60661.77;23961.42;8915.94
PENNSYLVANIA;1986;160862;60244.69;23854.84;8826.75
RHODE_ISLAND;1970;9824;4310.22;2264.59;572.26
RHODE_ISLAND;1971;9849;4451.24;2278.2;591.72
RHODE_ISLAND;1972;10247;4493.55;2224.36;571.84
RHODE_ISLAND;1973;10496;4498.12;2179.26;563.72
RHODE_ISLAND;1974;9888;4490.52;2164.89;555.89
RHODE_ISLAND;1975;9433;4463.83;2139.15;554.58
RHODE_ISLAND;1976;9968;4437.89;2095.73;561.1
RHODE_ISLAND;1977;10323;4443.85;2052.8;589.14
RHODE_ISLAND;1978;10610;4442.7;2016.8;656.02
RHODE_ISLAND;1979;10734;4430.52;1988.83;693.61
RHODE_ISLAND;1980;10518;4411.81;1959.41;727.15
RHODE_ISLAND;1981;10848;4396.28;1928.9;754.45
RHODE_ISLAND;1982;10592;4342.85;1906.68;765.37
RHODE_ISLAND;1983;11022;4302.36;1878.8;769.74
RHODE_ISLAND;1984;12011;4251.45;1860.02;761.93
RHODE_ISLAND;1985;12572;4230.74;1860.07;779.73
RHODE_ISLAND;1986;13283;4254.36;1884.02;800.83
SOUTH_CAROLINA;1970;20924;8250.43;4003.53;1094.79
SOUTH_CAROLINA;1971;21626;8694.41;4102.9;1188.11
SOUTH_CAROLINA;1972;23156;9115.22;4235.03;1352.97
SOUTH_CAROLINA;1973;24919;9554.06;4348.79;1474.87
SOUTH_CAROLINA;1974;25153;10014.14;4508.21;1562.14
SOUTH_CAROLINA;1975;24483;10637.46;4644.35;1639.24
SOUTH_CAROLINA;1976;26304;11097.59;4728.06;1665.89
SOUTH_CAROLINA;1977;27791;11500.56;4766.46;1673.79
SOUTH_CAROLINA;1978;29587;11653.18;4715.39;1676.79
SOUTH_CAROLINA;1979;30989;11911.5;4700.13;1744.9
SOUTH_CAROLINA;1980;31303;12263.76;4689.82;1804.03
SOUTH_CAROLINA;1981;32533;12577.08;4671.24;1838.99
SOUTH_CAROLINA;1982;31940;12972.01;4633.78;1932.6
SOUTH_CAROLINA;1983;33914;13110.97;4522.2;1997.51
SOUTH_CAROLINA;1984;36736;13172.84;4448.16;2086.57
SOUTH_CAROLINA;1985;37687;13211.81;4462.6;2131.34
SOUTH_CAROLINA;1986;39281;13391.24;4491.38;2181.72
SOUTH_DAKOTA;1970;5864;4173.17;3034.09;258.85
SOUTH_DAKOTA;1971;6065;4261.98;3081.08;268.64
SOUTH_DAKOTA;1972;6481;4333.46;3131.49;261.19
SOUTH_DAKOTA;1973;7048;4407.53;3145.05;270.82
SOUTH_DAKOTA;1974;6936;4501.83;3195.26;272.96
SOUTH_DAKOTA;1975;7154;4630.2;3238.72;279.35
SOUTH_DAKOTA;1976;6922;4732.91;3256.92;287.71
SOUTH_DAKOTA;1977;7411;4840.82;3291.01;286.76
SOUTH_DAKOTA;1978;7800;4895.63;3274.12;290.55
SOUTH_DAKOTA;1979;8164;4998.02;3263.74;308.57
SOUTH_DAKOTA;1980;7841;5067.5;3244.97;327.55
SOUTH_DAKOTA;1981;8009;5125.45;3228.59;349.02
SOUTH_DAKOTA;1982;7835;5178.56;3222.48;372.98
SOUTH_DAKOTA;1983;7660;5162.24;3201.09;394.14
SOUTH_DAKOTA;1984;8200;5146.61;3199.35;406.21
SOUTH_DAKOTA;1985;8418;5148.18;3211.4;422.71
SOUTH_DAKOTA;1986;8760;5281.22;3231.13;523.95
TENNESSE;1970;34769;20949.51;9280.24;2787.57
TENNESSE;1971;36771;21687.41;9506.84;2869.86
TENNESSE;1972;40403;22448.25;9660.19;3084.42
TENNESSE;1973;43424;22886.75;9744.11;3117.33
TENNESSE;1974;43052;23184.46;9861.13;3152
TENNESSE;1975;42098;23972.49;9981.1;3422.44
TENNESSE;1976;45309;24632.07;10093.2;3612.72
TENNESSE;1977;47941;25153.79;10262.04;3728.89
TENNESSE;1978;51630;25444.07;10346.22;3836.06
TENNESSE;1979;52759;25820.64;10412.39;3996.54
TENNESSE;1980;51810;26011.9;10468.24;4055.87
TENNESSE;1981;52804;26321.05;10514.67;4196.88
TENNESSE;1982;51967;26467.14;10529.66;4342.69
TENNESSE;1983;54217;26394.65;10509.67;4476.56
TENNESSE;1984;58810;26261.07;10523.47;4538.01
TENNESSE;1985;61337;26236.06;10639.21;4527.33
TENNESSE;1986;64124;26281.46;10744.85;4533.62
TEXAS;1970;160922;53639.88;25941.91;8352.71
TEXAS;1971;164088;55700.45;26813.21;8689.06
TEXAS;1972;172360;57213.27;27558.66;8884.14
TEXAS;1973;183467;59134.01;28414.53;8972.86
TEXAS;1974;189079;60974.12;28683.18;9108.26
TEXAS;1975;193920;62734.61;28964.12;9410.71
TEXAS;1976;205542;64422.93;29304.44;9852.87
TEXAS;1977;218733;65863.92;29426.06;10229.27
TEXAS;1978;232319;67133.78;29487.23;10579.21
TEXAS;1979;240424;69034.04;29851;11113.25
TEXAS;1980;244359;71409.31;30308.65;11992.75
TEXAS;1981;254691;74168.05;30933.18;12624.39
TEXAS;1982;254508;76260.44;31570.69;13030.77
TEXAS;1983;257245;78159.02;32349.61;13466.37
TEXAS;1984;273685;80067.98;32880.15;13775.33
TEXAS;1985;283388;82196.09;33234.72;14101.13
TEXAS;1986;276313;84303.17;33451.67;14704.89
UTAH;1970;10750;6494.16;3117.57;652.4
UTAH;1971;11242;6666.03;3281.38;639.42
UTAH;1972;12083;6773.32;3381.43;626.52
UTAH;1973;12850;6928.74;3497.85;599.48
UTAH;1974;13267;7072.53;3583.37;592.91
UTAH;1975;13482;7239.52;3626.31;599.94
UTAH;1976;14315;7373.63;3624.95;606.43
UTAH;1977;15324;7547.71;3670.07;608.15
UTAH;1978;16611;7716.92;3711.33;632.13
UTAH;1979;17291;7893.14;3721.36;672.08
UTAH;1980;17639;8057.45;3734.37;706.28
UTAH;1981;18093;8334.41;3801.07;723.09
UTAH;1982;17892;8606.09;3841.88;727.72
UTAH;1983;18570;8908.45;3867.21;731.4
UTAH;1984;20177;9453.63;3925.74;746.32
UTAH;1985;20920;10311.4;4014.23;807.78
UTAH;1986;21193;11392;4150.02;867.39
VERMONT;1970;4354;2627.12;1827.14;261.49
VERMONT;1971;4438;2756.19;1881.33;256.48
VERMONT;1972;4611;2894.58;1940.72;264.67
VERMONT;1973;4801;2967.25;1965.24;272.79
VERMONT;1974;4652;3025.15;2004.94;276.93
VERMONT;1975;4528;3083.07;2014.34;276.54
VERMONT;1976;4760;3075.61;2009.05;268.07
VERMONT;1977;4913;3055.26;1998.08;262.76
VERMONT;1978;5363;3019.42;1989.61;255.73
VERMONT;1979;5569;3020.06;1968.36;261.21
VERMONT;1980;5634;3032.36;1941.41;269.08
VERMONT;1981;5875;3016.79;1912.68;280.15
VERMONT;1982;5871;2983.19;1875.51;287.47
VERMONT;1983;6261;2950.98;1857.38;292
VERMONT;1984;6669;2927.85;1847.43;304.49
VERMONT;1985;7142;2925.39;1838.69;323.36
VERMONT;1986;7585;2936.44;1830.16;335.51
VIRGINIA;1970;48269;20732.56;11264.21;2677.11
VIRGINIA;1971;50049;21582.28;11608.6;2716.73
VIRGINIA;1972;52927;22348.28;11917.89;2788.37
VIRGINIA;1973;56762;22927;12172.65;2853.28
VIRGINIA;1974;57441;23570.72;12581.86;2903.27
VIRGINIA;1975;57290;24524.64;13035.16;3042.39
VIRGINIA;1976;60122;25440.39;13397.64;3306.99
VIRGINIA;1977;63151;26020.05;13663.61;3556.38
VIRGINIA;1978;66445;26621.8;13983.04;3787.02
VIRGINIA;1979;68123;27058.08;14155.94;3969.02
VIRGINIA;1980;68787;27606.76;14326.92;4212.09
VIRGINIA;1981;70711;27993.19;14398.22;4404.46
VIRGINIA;1982;70375;28206.71;14410.54;4615.59
VIRGINIA;1983;74360;28109.5;14296.38;4742.34
VIRGINIA;1984;79329;28031.46;14265.9;4743.87
VIRGINIA;1985;83143;27922.62;14248.7;4740.24
VIRGINIA;1986;88171;28000.68;14253.92;4786.93
WASHINGTON;1970;39224;25751.49;8657.13;3436.6
WASHINGTON;1971;38966;26775.46;9022.43;3514.56
WASHINGTON;1972;40535;27853.91;9398.12;3556.74
WASHINGTON;1973;43470;28392.6;9681.89;3549.61
WASHINGTON;1974;45385;29137.6;10078.96;3651.21
WASHINGTON;1975;46367;29497.89;10208.42;3728.15
WASHINGTON;1976;48697;29997.51;10297.58;3849.45
WASHINGTON;1977;51511;30862.78;10279.83;4336.53
WASHINGTON;1978;56875;31968.1;10394.74;4759.35
WASHINGTON;1979;60175;33454.73;10470.75;4823.12
WASHINGTON;1980;59796;35106.09;10631.04;4916.6
WASHINGTON;1981;58977;36528;10769.82;4963.37
WASHINGTON;1982;56745;37941.5;10912.53;4852.84
WASHINGTON;1983;58828;39515.57;11058.86;4830.54
WASHINGTON;1984;61507;40454.47;11335.77;4817.01
WASHINGTON;1985;63664;40775.81;11478.52;4890.4
WASHINGTON;1986;67158;41136.36;11738.08;5042.96
WEST_VIRGINIA;1970;18063;6482.87;4049.12;594.58
WEST_VIRGINIA;1971;18438;7051.17;4439.47;573.2
WEST_VIRGINIA;1972;19314;7652.54;4937.39;568.23
WEST_VIRGINIA;1973;19741;8245.21;5519.66;562.16
WEST_VIRGINIA;1974;19041;8735.95;6023.03;552.03
WEST_VIRGINIA;1975;19029;9220.62;6401.46;555.39
WEST_VIRGINIA;1976;20292;9624.86;6667.31;571.1
WEST_VIRGINIA;1977;21193;9942.15;6874.36;571.08
WEST_VIRGINIA;1978;22036;10115.55;6973.03;577.99
WEST_VIRGINIA;1979;22592;10457.33;7117.63;598.26
WEST_VIRGINIA;1980;22349;10705.18;7254.08;607.48
WEST_VIRGINIA;1981;22053;10943.56;7400.82;636.76
WEST_VIRGINIA;1982;21370;11059.62;7502.31;686.36
WEST_VIRGINIA;1983;20822;11078.85;7550.99;756.21
WEST_VIRGINIA;1984;21615;11072.89;7561.72;808.86
WEST_VIRGINIA;1985;21629;11000.7;7542.71;821.89
WEST_VIRGINIA;1986;21705;10984.38;7544.99;834.01
WISCONSIN;1970;45301;23565.08;9690.08;3968.16
WISCONSIN;1971;46505;24271.67;9903.02;3987.8
WISCONSIN;1972;48879;24747.06;10041.03;3995.29
WISCONSIN;1973;52062;25226.91;10214.01;4078
WISCONSIN;1974;51830;25539.33;10420.38;4170.32
WISCONSIN;1975;50930;25799.34;10502.77;4290.18
WISCONSIN;1976;53853;25842.14;10498.44;4359.98
WISCONSIN;1977;57055;25945.01;10554.33;4401.65
WISCONSIN;1978;59908;25858.17;10580.21;4415.95
WISCONSIN;1979;61689;25885.94;10564.08;4500.91
WISCONSIN;1980;60255;25894.16;10593.25;4507.19
WISCONSIN;1981;60815;25984.74;10647.18;4586.04
WISCONSIN;1982;59558;26034.63;10705.66;4668.07
WISCONSIN;1983;61053;26289.52;10843.84;4789.47
WISCONSIN;1984;65461;26225.89;10830.84;4956.72
WISCONSIN;1985;67469;26304.98;10872.29;5140.45
WISCONSIN;1986;70171;26400.6;10848.68;5292.62
WYOMING;1970;7924;3674.01;2696.26;282.35
WYOMING;1971;7504;3701.91;2736.69;275.04
WYOMING;1972;7807;3701.91;2760.91;270.68
WYOMING;1973;8067;3722.93;2785.44;261.83
WYOMING;1974;8831;3732.09;2804.6;258.49
WYOMING;1975;8949;3772.46;2796.67;262.73
WYOMING;1976;9057;3884.01;2804.28;273.45
WYOMING;1977;9779;4037.03;2898.34;291.64
WYOMING;1978;11038;4115.61;2920.85;294.73
WYOMING;1979;11988;4268.71;2950.53;313.47
WYOMING;1980;13027;4399.69;2979.23;338.06
WYOMING;1981;13717;4572.67;3005.62;379.19
WYOMING;1982;13056;4731.98;3060.64;408.43
WYOMING;1983;11922;4950.82;3119.98;445.59
WYOMING;1984;12073;5184.73;3195.68;476.57
WYOMING;1985;12022;5448.38;3295.92;523.01
WYOMING;1986;10870;5700.41;3400.96;565.58
